10,0,133,133,133,8.292,326.542
21,0,3,3,3,20.333,307.208
32,0,3,3,3,32.167,295.292
43,0,135,135,135,46.375,283.875
54,0,30,30,30,65.000,273.333
65,0,159,159,159,79.625,259.625
76,0,200,200,200,80.417,232.417
87,0,238,238,238,81.583,207.750
98,0,1,1,1,84.333,164.167
109,0,255,255,255,81.969,140.719
120,0,174,174,174,72.688,121.188
131,0,70,70,70,77.938,98.188
142,0,17,17,17,82.094,76.156
153,0,33,33,33,86.625,52.219
164,0,0,0,0,94.188,35.500
175,0,25,25,25,104.938,22.312
186,0,17,17,17,118.344,11.312
197,0,126,126,126,135.188,3.906
208,0,0,0,0,156.906,7.000
219,0,4,4,4,161.531,5.250
230,0,14,14,14,183.719,3.688
241,0,0,0,0,201.594,11.469
252,0,0,0,0,217.594,24.031
263,0,11,11,11,226.812,40.062
274,0,244,244,244,232.188,52.719
285,0,31,31,31,237.312,80.750
296,0,223,223,223,244.094,109.438
307,0,0,0,0,238.594,131.688
318,0,165,165,165,232.219,148.438
329,0,21,21,21,232.833,176.333
340,0,239,239,239,234.667,203.208
351,0,130,130,130,235.500,230.500
362,0,232,232,232,237.167,256.292
373,0,20,20,20,252.000,274.042
384,0,55,55,55,272.250,284.708
395,0,255,255,255,293.083,300.750
406,0,32,32,32,306.917,318.042
417,0,242,242,242,316.542,339.500
428,0,0,0,0,319.292,368.500
439,0,3,3,3,315.250,399.750
450,0,235,235,235,300.292,425.208
461,0,255,255,255,273.938,442.312
472,0,50,50,50,212.938,447.625
483,0,253,253,253,161.062,443.625
494,0,255,255,255,122.625,449.375
505,0,47,47,47,64.375,446.938
516,0,8,8,8,28.000,428.625
527,0,0,0,0,9.000,401.312
